date,co2_ppm
2013-09,393.72
2013-10,393.9
2013-11,395.36
2013-12,397.03
2014-01,398.04
2014-02,398.27
2014-03,399.91
2014-04,401.51
2014-05,401.96
2014-06,401.43
2014-07,399.27
2014-08,397.18
2014-09,395.54
2014-10,396.16
2014-11,397.4
2014-12,399.08
2015-01,400.18
2015-02,400.55
2015-03,401.74
2015-04,403.35
2015-05,404.15
2015-06,402.97
2015-07,401.46
2015-08,399.11
2015-09,397.82
2015-10,398.49
2015-11,400.27
2015-12,402.06
2016-01,402.73
2016-02,404.25
2016-03,405.06
2016-04,407.6
2016-05,407.9
2016-06,406.99
2016-07,404.59
2016-08,402.45
2016-09,401.23
2016-10,401.79
2016-11,403.72
2016-12,404.64
2017-01,406.36
2017-02,406.66
2017-03,407.54
2017-04,409.22
2017-05,409.89
2017-06,409.08
2017-07,407.33
2017-08,405.32
2017-09,403.57
2017-10,403.82
2017-11,405.31
2017-12,407.0
2018-01,408.15
2018-02,408.52
2018-03,409.59
2018-04,410.45
2018-05,411.44
2018-06,410.99
2018-07,408.9
2018-08,407.16
2018-09,405.71
2018-10,406.19
2018-11,408.21
2018-12,409.27
2019-01,411.03
2019-02,411.96
2019-03,412.18
2019-04,413.54
2019-05,414.86
2019-06,414.15
2019-07,411.96
2019-08,410.17
2019-09,408.76
2019-10,408.74
2019-11,410.47
2019-12,411.97
2020-01,413.59
2020-02,414.32
2020-03,414.72
2020-04,416.42
2020-05,417.28
2020-06,416.58
2020-07,414.58
2020-08,412.75
2020-09,411.49
2020-10,411.48
2020-11,413.1
2020-12,414.23
2021-01,415.49
2021-02,416.72
2021-03,417.61
2021-04,419.01
2021-05,419.09
2021-06,418.93
2021-07,416.9
2021-08,414.42
2021-09,413.26
2021-10,413.9
2021-11,414.97
2021-12,416.67
2022-01,418.13
2022-02,419.24
2022-03,418.76
2022-04,420.19
2022-05,420.97
2022-06,420.94
2022-07,418.85
2022-08,417.15
2022-09,415.91
2022-10,415.74
2022-11,417.47
2022-12,418.99
2023-01,419.47
2023-02,420.31
2023-03,420.99
2023-04,423.31
2023-05,424.0
2023-06,423.68
2023-07,421.83
2023-08,419.68
