date,disp_mm
2015-01-01,-4.269
2015-01-02,-4.828
2015-01-03,-5.271
2015-01-04,-6.214
2015-01-05,-5.425
2015-01-06,-7.226
2015-01-07,-5.882
2015-01-08,-4.435
2015-01-09,-6.427
2015-01-10,-7.393
2015-01-11,-8.753
2015-01-12,-7.402
2015-01-13,-4.87
2015-01-14,-5.971
2015-01-15,-4.752
2015-01-16,-5.777
2015-01-17,-8.725
2015-01-18,-7.833
2015-01-19,-7.613
2015-01-20,-5.423
2015-01-21,-6.54
2015-01-22,-4.52
2015-01-23,-3.167
2015-01-24,-5.026
2015-01-25,-4.069
2015-01-26,-5.241
2015-01-27,-5.46
2015-01-28,-6.857
2015-01-29,-5.275
2015-01-30,-7.234
2015-01-31,-6.327
2015-02-01,-4.411
2015-02-02,-5.234
2015-02-03,-8.095
2015-02-04,-4.926
2015-02-05,-6.798
2015-02-06,-4.473
2015-02-07,-4.698
2015-02-08,-4.318
2015-02-09,-5.011
2015-02-10,-3.753
2015-02-11,-3.456
2015-02-12,-3.935
2015-02-13,-4.587
2015-02-14,-0.6
2015-02-15,-5.116
2015-02-16,-2.981
2015-02-17,-2.782
2015-02-18,-0.442
2015-02-19,-1.604
2015-02-20,-1.535
2015-02-21,0.028
2015-02-22,-0.479
2015-02-23,-1.572
2015-02-24,-1.36
2015-02-25,-0.77
2015-02-26,-2.78
2015-02-27,-4.366
2015-02-28,-2.824
2015-03-01,-1.952
2015-03-02,-0.341
2015-03-03,-4.228
2015-03-04,-0.897
2015-03-05,-1.726
2015-03-06,-2.576
2015-03-07,-2.185
2015-03-08,-4.814
2015-03-09,-4.639
2015-03-10,-3.085
2015-03-11,-4.435
2015-03-12,-4.049
2015-03-13,-2.194
2015-03-14,-2.805
2015-03-15,-5.187
2015-03-16,-3.583
2015-03-17,-2.428
2015-03-18,-4.932
2015-03-19,-0.893
2015-03-20,-1.193
2015-03-21,-5.403
2015-03-22,-2.399
2015-03-23,-2.436
2015-03-24,-6.283
2015-03-25,-4.011
2015-03-26,-4.429
2015-03-27,-2.167
2015-03-28,-2.073
2015-03-29,-5.714
2015-03-30,-4.307
2015-03-31,-4.366
2015-04-01,-1.924
2015-04-02,-2.017
2015-04-03,-2.118
2015-04-04,-3.501
2015-04-05,-1.194
2015-04-06,-0.954
2015-04-07,0.042
2015-04-08,-0.121
2015-04-09,0.429
2015-04-10,0.552
2015-04-11,1.806
2015-04-12,-0.72
2015-04-13,-1.747
2015-04-14,-1.161
2015-04-15,-1.254
2015-04-16,0.988
2015-04-17,2.92
2015-04-18,-1.752
2015-04-19,-0.078
2015-04-20,-2.416
2015-04-21,0.157
2015-04-22,-1.934
2015-04-23,-0.815
2015-04-24,-1.58
2015-04-25,-1.031
2015-04-26,0.766
2015-04-27,1.539
2015-04-28,-0.796
2015-04-29,0.867
2015-04-30,1.772
2015-05-01,-0.897
2015-05-02,0.4
2015-05-03,-1.954
2015-05-04,-3.681
2015-05-05,-4.381
2015-05-06,-0.551
2015-05-07,0.62
2015-05-08,-0.207
2015-05-09,-2.324
2015-05-10,-1.536
2015-05-11,-1.216
2015-05-12,0.105
2015-05-13,0.888
2015-05-14,-1.56
2015-05-15,-1.655
2015-05-16,-0.612
2015-05-17,-1.881
2015-05-18,-3.447
2015-05-19,-0.553
2015-05-20,2.199
2015-05-21,0.78
2015-05-22,3.324
2015-05-23,1.631
2015-05-24,0.167
2015-05-25,3.507
2015-05-26,-0.67
2015-05-27,0.882
2015-05-28,2.132
2015-05-29,2.798
2015-05-30,1.256
2015-05-31,-1.574
2015-06-01,0.358
2015-06-02,-1.065
2015-06-03,5.847
2015-06-04,3.15
2015-06-05,3.354
2015-06-06,2.646
2015-06-07,1.409
2015-06-08,1.16
2015-06-09,3.738
2015-06-10,2.984
2015-06-11,4.464
2015-06-12,2.923
2015-06-13,3.348
2015-06-14,5.297
2015-06-15,4.587
2015-06-16,2.889
2015-06-17,1.883
2015-06-18,5.657
2015-06-19,5.63
2015-06-20,6.55
2015-06-21,5.935
2015-06-22,4.686
2015-06-23,5.529
2015-06-24,7.056
2015-06-25,5.445
2015-06-26,7.933
2015-06-27,6.131
2015-06-28,4.654
2015-06-29,3.971
2015-06-30,3.1
2015-07-01,5.981
2015-07-02,3.938
2015-07-03,5.028
2015-07-04,1.241
2015-07-05,5.444
2015-07-06,2.23
2015-07-07,2.349
2015-07-08,2.566
2015-07-09,4.714
2015-07-10,5.303
2015-07-11,5.033
2015-07-12,6.248
2015-07-13,3.005
2015-07-14,6.404
2015-07-15,6.87
2015-07-16,4.586
2015-07-17,6.348
2015-07-18,3.972
2015-07-19,5.821
2015-07-20,4.77
2015-07-21,3.289
2015-07-22,3.375
2015-07-23,5.258
2015-07-24,3.793
2015-07-25,6.284
2015-07-26,6.671
2015-07-27,7.561
2015-07-28,7.086
2015-07-29,4.876
2015-07-30,8.59
2015-07-31,3.72
2015-08-01,5.822
2015-08-02,6.971
2015-08-03,5.399
2015-08-04,7.095
2015-08-05,6.125
2015-08-06,6.663
2015-08-07,8.74
2015-08-08,8.867
2015-08-09,7.242
2015-08-10,7.212
2015-08-11,8.723
2015-08-12,8.132
2015-08-13,5.483
2015-08-14,3.814
2015-08-15,6.474
2015-08-16,4.124
2015-08-17,6.802
2015-08-18,8.023
2015-08-19,9.302
2015-08-20,7.688
2015-08-21,6.786
2015-08-22,5.963
2015-08-23,9.013
2015-08-24,9.661
2015-08-25,9.424
2015-08-26,6.885
2015-08-27,6.099
2015-08-28,7.079
2015-08-29,9.031
2015-08-30,8.646
2015-08-31,9.226
2015-09-01,10.537
2015-09-02,9.259
2015-09-03,8.437
2015-09-04,8.843
2015-09-05,7.419
2015-09-06,8.283
2015-09-07,11.223
2015-09-08,5.751
2015-09-09,9.27
2015-09-10,10.363
2015-09-11,9.013
2015-09-12,6.075
2015-09-13,7.316
2015-09-14,7.915
2015-09-15,4.742
2015-09-16,5.899
2015-09-17,5.528
2015-09-18,7.277
2015-09-19,7.412
2015-09-20,6.369
2015-09-21,7.356
2015-09-22,6.173
2015-09-23,10.036
2015-09-24,7.009
2015-09-25,10.509
2015-09-26,7.753
2015-09-27,6.189
2015-09-28,10.951
2015-09-29,9.817
2015-09-30,8.342
2015-10-01,7.327
2015-10-02,6.383
2015-10-03,9.471
2015-10-04,9.919
2015-10-05,9.498
2015-10-06,6.432
2015-10-07,6.117
2015-10-08,6.385
2015-10-09,3.272
2015-10-10,10.234
2015-10-11,7.897
2015-10-12,7.364
2015-10-13,7.082
2015-10-14,9.28
2015-10-15,8.966
2015-10-16,8.428
2015-10-17,9.87
2015-10-18,6.921
2015-10-19,9.114
2015-10-20,8.448
2015-10-21,8.137
2015-10-22,5.687
2015-10-23,6.117
2015-10-24,5.457
2015-10-25,6.349
2015-10-26,7.653
2015-10-27,6.101
2015-10-28,6.415
2015-10-29,5.73
2015-10-30,6.809
2015-10-31,8.263
2015-11-01,9.543
